Opção,Ano,Países,Quantidade(Kg.),Valor (US$)
Espumantes,1995,Granada,-,-
Espumantes,1995,Grécia,-,-
Espumantes,1995,Hong Kong,-,-
Espumantes,1995,Hungria,-,-
Espumantes,1995,Indonésia,-,-
Espumantes,1995,Irlanda,-,-
Espumantes,1995,Israel,-,-
Espumantes,1995,Itália,230.441,554.770
Espumantes,1995,Japão,-,-
Espumantes,1995,Luxemburgo,-,-
Espumantes,1995,México,-,-
Espumantes,1995,Moldávia,-,-
Espumantes,1995,Nova Zelândia,-,-
Espumantes,1995,Países Baixos,-,-
Espumantes,1995,Panamá,-,-
Espumantes,1995,Peru,-,-
Espumantes,1995,Portugal,11.745,37.615
Espumantes,1995,Reino Unido,-,-
Espumantes,1995,Romênia,-,-
Espumantes,1995,Suíça,-,-
Espumantes,1995,Tunísia,-,-
Espumantes,1995,Ucrânia,-,-
Espumantes,1995,Uruguai,-,-
Espumantes,1995,Não consta na tabela,-,-
Espumantes,1995,Não declarados,-,-
Espumantes,1995,Outros,20.108,40.703
Espumantes,1995,Total,884.441,3.522.762
Espumantes,1996,Africa do Sul,-,-
Espumantes,1996,Alemanha,22.766,68.098
Espumantes,1996,Argentina,567,3.110
Espumantes,1996,Austrália,-,-
Espumantes,1996,Áustria,-,-
Espumantes,1996,Bermudas,-,-
Espumantes,1996,Bahamas,-,-
Espumantes,1996,Bélgica,-,-
Espumantes,1996,Brasil,-,-
Espumantes,1996,Bulgária,-,-
Espumantes,1996,Canada,-,-
Espumantes,1996,Chile,26.686,37.785
Espumantes,1996,Croácia,-,-
Espumantes,1996,Cuba,-,-
Espumantes,1996,Emirados Árabes Unidos,-,-
Espumantes,1996,Eslovênia,-,-
Espumantes,1996,Espanha,198.872,778.631
Espumantes,1996,Estados Unidos,-,-
Espumantes,1996,França,272.978,2.319.514
Espumantes,1996,Geórgia,-,-
Espumantes,1996,Granada,-,-
Espumantes,1996,Grécia,-,-
Espumantes,1996,Hong Kong,-,-
Espumantes,1996,Hungria,-,-
Espumantes,1996,Indonésia,-,-
Espumantes,1996,Irlanda,-,-
Espumantes,1996,Israel,-,-
Espumantes,1996,Itália,203.645,480.610
Espumantes,1996,Japão,-,-
Espumantes,1996,Luxemburgo,-,-
Espumantes,1996,México,-,-
Espumantes,1996,Moldávia,-,-
Espumantes,1996,Nova Zelândia,-,-
Espumantes,1996,Países Baixos,-,-
Espumantes,1996,Panamá,-,-
Espumantes,1996,Peru,-,-
Espumantes,1996,Portugal,14.861,47.858
Espumantes,1996,Reino Unido,-,-
Espumantes,1996,Romênia,-,-
Espumantes,1996,Suíça,-,-
Espumantes,1996,Tunísia,-,-
Espumantes,1996,Ucrânia,-,-
Espumantes,1996,Uruguai,11.813,44.125
Espumantes,1996,Não consta na tabela,3.133,23.378
Espumantes,1996,Não declarados,140,571
Espumantes,1996,Outros,8.771,34.875
Espumantes,1996,Total,764.232,3.838.555
Espumantes,1997,Africa do Sul,-,-
Espumantes,1997,Alemanha,8.648,29.238
Espumantes,1997,Argentina,11.139,26.864
Espumantes,1997,Austrália,-,-
Espumantes,1997,Áustria,-,-
Espumantes,1997,Bermudas,-,-
Espumantes,1997,Bahamas,-,-
Espumantes,1997,Bélgica,-,-
Espumantes,1997,Brasil,-,-
Espumantes,1997,Bulgária,-,-
Espumantes,1997,Canada,-,-
Espumantes,1997,Chile,2.565,13.680
Espumantes,1997,Croácia,-,-
Espumantes,1997,Cuba,-,-
Espumantes,1997,Emirados Árabes Unidos,-,-
Espumantes,1997,Eslovênia,-,-
Espumantes,1997,Espanha,259.100,920.891
Espumantes,1997,Estados Unidos,-,-
Espumantes,1997,França,760.944,7.856.909
Espumantes,1997,Geórgia,-,-
Espumantes,1997,Granada,-,-
Espumantes,1997,Grécia,-,-
Espumantes,1997,Hong Kong,-,-
Espumantes,1997,Hungria,-,-
Espumantes,1997,Indonésia,-,-
Espumantes,1997,Irlanda,-,-
Espumantes,1997,Israel,-,-
Espumantes,1997,Itália,162.568,485.282
Espumantes,1997,Japão,-,-
Espumantes,1997,Luxemburgo,-,-
Espumantes,1997,México,-,-
Espumantes,1997,Moldávia,-,-
Espumantes,1997,Nova Zelândia,-,-
Espumantes,1997,Países Baixos,-,-
Espumantes,1997,Panamá,-,-
Espumantes,1997,Peru,-,-
Espumantes,1997,Portugal,42.736,130.895
Espumantes,1997,Reino Unido,-,-
Espumantes,1997,Romênia,-,-
Espumantes,1997,Suíça,-,-
Espumantes,1997,Tunísia,-,-
Espumantes,1997,Ucrânia,-,-
Espumantes,1997,Uruguai,8.161,33.049
Espumantes,1997,Não consta na tabela,-,-
Espumantes,1997,Não declarados,-,-
Espumantes,1997,Outros,6.414,58.248
Espumantes,1997,Total,1.262.275,9.555.056
Espumantes,1998,Africa do Sul,-,-
Espumantes,1998,Alemanha,9.403,45.794
Espumantes,1998,Argentina,85.497,308.165
Espumantes,1998,Austrália,-,-
Espumantes,1998,Áustria,-,-
Espumantes,1998,Bermudas,-,-
Espumantes,1998,Bahamas,-,-
Espumantes,1998,Bélgica,-,-
Espumantes,1998,Brasil,-,-
Espumantes,1998,Bulgária,-,-
Espumantes,1998,Canada,-,-
Espumantes,1998,Chile,7.877,20.030
Espumantes,1998,Croácia,-,-
Espumantes,1998,Cuba,-,-
Espumantes,1998,Emirados Árabes Unidos,-,-
Espumantes,1998,Eslovênia,-,-
Espumantes,1998,Espanha,253.355,1.009.470
Espumantes,1998,Estados Unidos,-,-
Espumantes,1998,França,779.564,9.136.225
Espumantes,1998,Geórgia,-,-
Espumantes,1998,Granada,-,-
Espumantes,1998,Grécia,-,-
Espumantes,1998,Hong Kong,-,-
Espumantes,1998,Hungria,-,-
Espumantes,1998,Indonésia,-,-
Espumantes,1998,Irlanda,-,-
Espumantes,1998,Israel,-,-
Espumantes,1998,Itália,234.227,853.007
Espumantes,1998,Japão,-,-
Espumantes,1998,Luxemburgo,-,-
Espumantes,1998,México,-,-
Espumantes,1998,Moldávia,-,-
Espumantes,1998,Nova Zelândia,-,-
Espumantes,1998,Países Baixos,-,-
Espumantes,1998,Panamá,-,-
Espumantes,1998,Peru,-,-
Espumantes,1998,Portugal,4.386,16.971
Espumantes,1998,Reino Unido,-,-
Espumantes,1998,Romênia,-,-
Espumantes,1998,Suíça,-,-
Espumantes,1998,Tunísia,-,-
Espumantes,1998,Ucrânia,-,-
Espumantes,1998,Uruguai,2.430,9.720
Espumantes,1998,Não consta na tabela,-,-
Espumantes,1998,Não declarados,-,-
Espumantes,1998,Outros,2.720,16.836
Espumantes,1998,Total,1.379.459,11.416.218
Espumantes,1999,Africa do Sul,-,-
Espumantes,1999,Alemanha,1.980,6.690
Espumantes,1999,Argentina,86.940,360.596
Espumantes,1999,Austrália,-,-
Espumantes,1999,Áustria,-,-
Espumantes,1999,Bermudas,-,-
Espumantes,1999,Bahamas,-,-
Espumantes,1999,Bélgica,-,-
Espumantes,1999,Brasil,-,-
Espumantes,1999,Bulgária,-,-
Espumantes,1999,Canada,-,-
Espumantes,1999,Chile,18.020,65.480
Espumantes,1999,Croácia,-,-
Espumantes,1999,Cuba,-,-
Espumantes,1999,Emirados Árabes Unidos,-,-
Espumantes,1999,Eslovênia,-,-
Espumantes,1999,Espanha,251.511,1.017.499
Espumantes,1999,Estados Unidos,-,-
Espumantes,1999,França,1.158.921,11.636.214
Espumantes,1999,Geórgia,-,-
Espumantes,1999,Granada,-,-
Espumantes,1999,Grécia,-,-
Espumantes,1999,Hong Kong,-,-
Espumantes,1999,Hungria,-,-
Espumantes,1999,Indonésia,-,-
Espumantes,1999,Irlanda,-,-
Espumantes,1999,Israel,-,-
Espumantes,1999,Itália,498.453,1.678.442
Espumantes,1999,Japão,-,-
Espumantes,1999,Luxemburgo,-,-
Espumantes,1999,México,-,-
Espumantes,1999,Moldávia,-,-
Espumantes,1999,Nova Zelândia,-,-
Espumantes,1999,Países Baixos,-,-
Espumantes,1999,Panamá,-,-
Espumantes,1999,Peru,-,-
Espumantes,1999,Portugal,15.501,45.223
Espumantes,1999,Reino Unido,-,-
Espumantes,1999,Romênia,-,-
Espumantes,1999,Suíça,-,-
Espumantes,1999,Tunísia,-,-
Espumantes,1999,Ucrânia,-,-
Espumantes,1999,Uruguai,-,-
Espumantes,1999,Não consta na tabela,-,-
Espumantes,1999,Não declarados,-,-
Espumantes,1999,Outros,2.117,5.818
Espumantes,1999,Total,2.033.443,14.815.962
Espumantes,2000,Africa do Sul,-,-
Espumantes,2000,Alemanha,1.130,3.150
Espumantes,2000,Argentina,114.511,326.156
Espumantes,2000,Austrália,-,-
Espumantes,2000,Áustria,-,-
Espumantes,2000,Bermudas,-,-
Espumantes,2000,Bahamas,-,-
Espumantes,2000,Bélgica,-,-
Espumantes,2000,Brasil,-,-
Espumantes,2000,Bulgária,-,-
Espumantes,2000,Canada,-,-
Espumantes,2000,Chile,11.250,31.550
Espumantes,2000,Croácia,-,-
Espumantes,2000,Cuba,-,-
Espumantes,2000,Emirados Árabes Unidos,-,-
Espumantes,2000,Eslovênia,-,-
Espumantes,2000,Espanha,230.327,928.135
Espumantes,2000,Estados Unidos,-,-
Espumantes,2000,França,979.713,8.756.457
Espumantes,2000,Geórgia,-,-
Espumantes,2000,Granada,-,-
Espumantes,2000,Grécia,-,-
Espumantes,2000,Hong Kong,-,-
Espumantes,2000,Hungria,-,-
Espumantes,2000,Indonésia,-,-
Espumantes,2000,Irlanda,-,-
Espumantes,2000,Israel,-,-
Espumantes,2000,Itália,488.816,1.303.096
Espumantes,2000,Japão,-,-
Espumantes,2000,Luxemburgo,-,-
Espumantes,2000,México,-,-
Espumantes,2000,Moldávia,-,-
Espumantes,2000,Nova Zelândia,-,-
Espumantes,2000,Países Baixos,-,-
Espumantes,2000,Panamá,-,-
Espumantes,2000,Peru,-,-
Espumantes,2000,Portugal,12.622,41.797
Espumantes,2000,Reino Unido,-,-
Espumantes,2000,Romênia,-,-
Espumantes,2000,Suíça,-,-
Espumantes,2000,Tunísia,-,-
Espumantes,2000,Ucrânia,-,-
Espumantes,2000,Uruguai,1.746,4.140
Espumantes,2000,Não consta na tabela,-,-
Espumantes,2000,Não declarados,-,-
Espumantes,2000,Outros,2.575,16.650
Espumantes,2000,Total,1.842.690,11.411.131
Espumantes,2001,Africa do Sul,-,-
Espumantes,2001,Alemanha,6.516,17.537
Espumantes,2001,Argentina,32.464,90.851
Espumantes,2001,Austrália,-,-
Espumantes,2001,Áustria,-,-
Espumantes,2001,Bermudas,-,-
Espumantes,2001,Bahamas,-,-
Espumantes,2001,Bélgica,-,-
Espumantes,2001,Brasil,-,-
Espumantes,2001,Bulgária,-,-
Espumantes,2001,Canada,-,-
Espumantes,2001,Chile,15.695,44.425
Espumantes,2001,Croácia,-,-
Espumantes,2001,Cuba,-,-
Espumantes,2001,Emirados Árabes Unidos,-,-
Espumantes,2001,Eslovênia,-,-
Espumantes,2001,Espanha,713.315,6.408.671
Espumantes,2001,Estados Unidos,-,-
Espumantes,2001,França,182.179,262.999
Espumantes,2001,Geórgia,-,-
Espumantes,2001,Granada,-,-
Espumantes,2001,Grécia,-,-
Espumantes,2001,Hong Kong,-,-
Espumantes,2001,Hungria,-,-
Espumantes,2001,Indonésia,-,-
Espumantes,2001,Irlanda,-,-
Espumantes,2001,Israel,450,1.510
Espumantes,2001,Itália,1.009.289,2.476.201
Espumantes,2001,Japão,-,-
Espumantes,2001,Luxemburgo,-,-
Espumantes,2001,México,-,-
Espumantes,2001,Moldávia,-,-
Espumantes,2001,Nova Zelândia,-,-
Espumantes,2001,Países Baixos,-,-
Espumantes,2001,Panamá,-,-
Espumantes,2001,Peru,-,-
Espumantes,2001,Portugal,20.653,44.980
Espumantes,2001,Reino Unido,-,-
Espumantes,2001,Romênia,-,-
Espumantes,2001,Suíça,-,-
Espumantes,2001,Tunísia,-,-
Espumantes,2001,Ucrânia,-,-
Espumantes,2001,Uruguai,9.417,35.558
Espumantes,2001,Não consta na tabela,-,-
Espumantes,2001,Não declarados,-,-
Espumantes,2001,Outros,450,1.359
Espumantes,2001,Total,1.990.428,9.384.091
Espumantes,2002,Africa do Sul,-,-
Espumantes,2002,Alemanha,7.034,19.584
Espumantes,2002,Argentina,17.096,32.807
Espumantes,2002,Austrália,1.136,7.702
Espumantes,2002,Áustria,-,-
Espumantes,2002,Bermudas,-,-
Espumantes,2002,Bahamas,-,-
Espumantes,2002,Bélgica,-,-
Espumantes,2002,Brasil,-,-
Espumantes,2002,Bulgária,-,-
Espumantes,2002,Canada,-,-
Espumantes,2002,Chile,6.300,20.323
Espumantes,2002,Croácia,-,-
Espumantes,2002,Cuba,-,-
Espumantes,2002,Emirados Árabes Unidos,-,-
Espumantes,2002,Eslovênia,-,-
Espumantes,2002,Espanha,166.433,528.696
Espumantes,2002,Estados Unidos,990,3.846
Espumantes,2002,França,669.778,5.946.841
Espumantes,2002,Geórgia,-,-
Espumantes,2002,Granada,-,-
Espumantes,2002,Grécia,-,-
Espumantes,2002,Hong Kong,-,-
Espumantes,2002,Hungria,675,1.837
Espumantes,2002,Indonésia,-,-
Espumantes,2002,Irlanda,-,-
Espumantes,2002,Israel,1.152,3.853
Espumantes,2002,Itália,1.484.899,3.020.296
Espumantes,2002,Japão,-,-
Espumantes,2002,Luxemburgo,-,-
Espumantes,2002,México,-,-
Espumantes,2002,Moldávia,-,-
Espumantes,2002,Nova Zelândia,-,-
Espumantes,2002,Países Baixos,-,-
Espumantes,2002,Panamá,-,-
Espumantes,2002,Peru,-,-
Espumantes,2002,Portugal,14.033,52.317
Espumantes,2002,Reino Unido,-,-
Espumantes,2002,Romênia,-,-
Espumantes,2002,Suíça,-,-
Espumantes,2002,Tunísia,-,-
Espumantes,2002,Ucrânia,-,-
Espumantes,2002,Uruguai,887,4.090
Espumantes,2002,Não consta na tabela,-,-
Espumantes,2002,Não declarados,-,-
Espumantes,2002,Outros,-,-
Espumantes,2002,Total,2.370.413,9.642.192
Espumantes,2003,Africa do Sul,5.546,6.475
Espumantes,2003,Alemanha,3.114,8.638
Espumantes,2003,Argentina,143.659,301.329
Espumantes,2003,Austrália,-,-
Espumantes,2003,Áustria,-,-
Espumantes,2003,Bermudas,-,-
Espumantes,2003,Bahamas,-,-
Espumantes,2003,Bélgica,-,-
Espumantes,2003,Brasil,-,-
Espumantes,2003,Bulgária,-,-
Espumantes,2003,Canada,-,-
Espumantes,2003,Chile,16.200,39.459
Espumantes,2003,Croácia,-,-
Espumantes,2003,Cuba,-,-
Espumantes,2003,Emirados Árabes Unidos,-,-
Espumantes,2003,Eslovênia,-,-
Espumantes,2003,Espanha,164.545,549.223
Espumantes,2003,Estados Unidos,1.575,9.100
Espumantes,2003,França,965.033,7.444.348
Espumantes,2003,Geórgia,-,-
Espumantes,2003,Granada,-,-
Espumantes,2003,Grécia,-,-
Espumantes,2003,Hong Kong,-,-
Espumantes,2003,Hungria,387,1.165
Espumantes,2003,Indonésia,-,-
Espumantes,2003,Irlanda,-,-
Espumantes,2003,Israel,1.890,6.233
Espumantes,2003,Itália,1.209.558,2.627.321
Espumantes,2003,Japão,-,-
Espumantes,2003,Luxemburgo,-,-
Espumantes,2003,México,-,-
Espumantes,2003,Moldávia,-,-
Espumantes,2003,Nova Zelândia,-,-
Espumantes,2003,Países Baixos,-,-
Espumantes,2003,Panamá,-,-
Espumantes,2003,Peru,-,-
Espumantes,2003,Portugal,17.170,57.304
Espumantes,2003,Reino Unido,-,-
Espumantes,2003,Romênia,-,-
Espumantes,2003,Suíça,-,-
Espumantes,2003,Tunísia,-,-
Espumantes,2003,Ucrânia,-,-
Espumantes,2003,Uruguai,1.722,5.100
Espumantes,2003,Não consta na tabela,-,-
Espumantes,2003,Não declarados,-,-
Espumantes,2003,Outros,-,-
Espumantes,2003,Total,2.530.399,11.055.695
Espumantes,2004,Africa do Sul,59,259
Espumantes,2004,Alemanha,22.785,77.735
Espumantes,2004,Argentina,1.008.169,2.760.067
Espumantes,2004,Austrália,1.310,6.507
Espumantes,2004,Áustria,-,-
Espumantes,2004,Bermudas,-,-
Espumantes,2004,Bahamas,-,-
Espumantes,2004,Bélgica,-,-
Espumantes,2004,Brasil,5.357,17.451
Espumantes,2004,Bulgária,-,-
Espumantes,2004,Canada,-,-
Espumantes,2004,Chile,25.920,48.350
Espumantes,2004,Croácia,-,-
Espumantes,2004,Cuba,-,-
Espumantes,2004,Emirados Árabes Unidos,-,-
Espumantes,2004,Eslovênia,-,-
Espumantes,2004,Espanha,209.973,660.360
Espumantes,2004,Estados Unidos,-,-
Espumantes,2004,França,746.383,6.768.485
Espumantes,2004,Geórgia,-,-
Espumantes,2004,Granada,-,-
Espumantes,2004,Grécia,-,-
Espumantes,2004,Hong Kong,-,-
Espumantes,2004,Hungria,657,1.775
Espumantes,2004,Indonésia,-,-
Espumantes,2004,Irlanda,-,-
Espumantes,2004,Israel,1.935,5.346
Espumantes,2004,Itália,1.033.793,2.850.765
Espumantes,2004,Japão,-,-
Espumantes,2004,Luxemburgo,-,-
Espumantes,2004,México,-,-
Espumantes,2004,Moldávia,-,-
Espumantes,2004,Nova Zelândia,-,-
Espumantes,2004,Países Baixos,-,-
Espumantes,2004,Panamá,-,-
Espumantes,2004,Peru,-,-
Espumantes,2004,Portugal,30.305,99.071
Espumantes,2004,Reino Unido,-,-
Espumantes,2004,Romênia,-,-
Espumantes,2004,Suíça,-,-
Espumantes,2004,Tunísia,-,-
Espumantes,2004,Ucrânia,-,-
Espumantes,2004,Uruguai,180,1.440
Espumantes,2004,Não consta na tabela,-,-
Espumantes,2004,Não declarados,-,-
Espumantes,2004,Outros,-,-
Espumantes,2004,Total,3.086.826,13.297.611
Espumantes,2005,Africa do Sul,520,2.320
Espumantes,2005,Alemanha,888,5.487
Espumantes,2005,Argentina,1.135.922,2.943.342
Espumantes,2005,Austrália,1.125,7.594
Espumantes,2005,Áustria,-,-
Espumantes,2005,Bermudas,-,-
Espumantes,2005,Bahamas,-,-
Espumantes,2005,Bélgica,-,-
Espumantes,2005,Brasil,9.801,33.151
Espumantes,2005,Bulgária,-,-
Espumantes,2005,Canada,-,-
Espumantes,2005,Chile,38.290,92.150
Espumantes,2005,Croácia,-,-
Espumantes,2005,Cuba,-,-
Espumantes,2005,Emirados Árabes Unidos,-,-
Espumantes,2005,Eslovênia,-,-
Espumantes,2005,Espanha,213.074,767.994
Espumantes,2005,Estados Unidos,2.808,6.796
Espumantes,2005,França,931.767,8.295.551
Espumantes,2005,Geórgia,-,-
Espumantes,2005,Granada,-,-
Espumantes,2005,Grécia,-,-
Espumantes,2005,Hong Kong,-,-
Espumantes,2005,Hungria,-,-
Espumantes,2005,Indonésia,-,-
Espumantes,2005,Irlanda,-,-
Espumantes,2005,Israel,4.968,13.263
Espumantes,2005,Itália,1.092.021,2.880.464
Espumantes,2005,Japão,-,-
Espumantes,2005,Luxemburgo,-,-
Espumantes,2005,México,-,-
Espumantes,2005,Moldávia,-,-
Espumantes,2005,Nova Zelândia,-,-
Espumantes,2005,Países Baixos,-,-
Espumantes,2005,Panamá,-,-
Espumantes,2005,Peru,-,-
Espumantes,2005,Portugal,10.588,41.905
Espumantes,2005,Reino Unido,-,-
Espumantes,2005,Romênia,-,-
Espumantes,2005,Suíça,-,-
Espumantes,2005,Tunísia,-,-
Espumantes,2005,Ucrânia,-,-
Espumantes,2005,Uruguai,193,372
Espumantes,2005,Não consta na tabela,-,-
Espumantes,2005,Não declarados,-,-
Espumantes,2005,Outros,1.043,3.445
Espumantes,2005,Total,3.443.008,15.093.834
Espumantes,2006,Africa do Sul,275,1.460
Espumantes,2006,Alemanha,1.170,8.087
Espumantes,2006,Argentina,1.713.270,4.726.606
Espumantes,2006,Austrália,675,3.248
Espumantes,2006,Áustria,-,-
Espumantes,2006,Bermudas,-,-
Espumantes,2006,Bahamas,-,-
Espumantes,2006,Bélgica,-,-
Espumantes,2006,Brasil,16.225,63.088
Espumantes,2006,Bulgária,-,-
Espumantes,2006,Canada,-,-
Espumantes,2006,Chile,29.806,93.696
Espumantes,2006,Croácia,-,-
Espumantes,2006,Cuba,-,-
Espumantes,2006,Emirados Árabes Unidos,-,-
Espumantes,2006,Eslovênia,-,-
Espumantes,2006,Espanha,250.377,916.775
Espumantes,2006,Estados Unidos,1.800,4.419
Espumantes,2006,França,1.096.043,11.085.410
Espumantes,2006,Geórgia,-,-
Espumantes,2006,Granada,-,-
Espumantes,2006,Grécia,-,-
Espumantes,2006,Hong Kong,-,-
Espumantes,2006,Hungria,-,-
Espumantes,2006,Indonésia,-,-
Espumantes,2006,Irlanda,-,-
Espumantes,2006,Israel,2.250,6.382
Espumantes,2006,Itália,1.410.249,4.279.286
Espumantes,2006,Japão,-,-
Espumantes,2006,Luxemburgo,-,-
Espumantes,2006,México,-,-
Espumantes,2006,Moldávia,-,-
Espumantes,2006,Nova Zelândia,-,-
Espumantes,2006,Países Baixos,-,-
Espumantes,2006,Panamá,-,-
Espumantes,2006,Peru,-,-
Espumantes,2006,Portugal,35.035,146.528
Espumantes,2006,Reino Unido,-,-
Espumantes,2006,Romênia,-,-
Espumantes,2006,Suíça,-,-
Espumantes,2006,Tunísia,-,-
Espumantes,2006,Ucrânia,-,-
Espumantes,2006,Uruguai,10.755,51.557
Espumantes,2006,Não consta na tabela,-,-
Espumantes,2006,Não declarados,-,-
Espumantes,2006,Outros,7.389,27.891
Espumantes,2006,Total,4.575.319,21.414.433
Espumantes,2007,Africa do Sul,90,1.073
Espumantes,2007,Alemanha,1.980,11.786
Espumantes,2007,Argentina,556.320,1.441.196
Espumantes,2007,Austrália,855,7.491
Espumantes,2007,Áustria,-,-
Espumantes,2007,Bermudas,-,-
Espumantes,2007,Bahamas,-,-
Espumantes,2007,Bélgica,-,-
Espumantes,2007,Brasil,4.092,22.079
Espumantes,2007,Bulgária,-,-
Espumantes,2007,Canada,-,-
Espumantes,2007,Chile,49.400,159.012
Espumantes,2007,Croácia,-,-
Espumantes,2007,Cuba,-,-
Espumantes,2007,Emirados Árabes Unidos,-,-
Espumantes,2007,Eslovênia,-,-
Espumantes,2007,Espanha,254.317,1.003.934
Espumantes,2007,Estados Unidos,3.240,8.865
Espumantes,2007,França,1.079.332,10.860.013
Espumantes,2007,Geórgia,-,-
Espumantes,2007,Granada,-,-
Espumantes,2007,Grécia,-,-
Espumantes,2007,Hong Kong,-,-
Espumantes,2007,Hungria,-,-
Espumantes,2007,Indonésia,-,-
Espumantes,2007,Irlanda,-,-
Espumantes,2007,Israel,5.220,22.638
Espumantes,2007,Itália,1.236.636,4.541.086
Espumantes,2007,Japão,-,-
Espumantes,2007,Luxemburgo,-,-
Espumantes,2007,México,-,-
Espumantes,2007,Moldávia,-,-
Espumantes,2007,Nova Zelândia,-,-
Espumantes,2007,Países Baixos,-,-
Espumantes,2007,Panamá,-,-
Espumantes,2007,Peru,-,-
Espumantes,2007,Portugal,38.385,181.318
Espumantes,2007,Reino Unido,-,-
Espumantes,2007,Romênia,-,-
Espumantes,2007,Suíça,-,-
Espumantes,2007,Tunísia,-,-
Espumantes,2007,Ucrânia,-,-
Espumantes,2007,Uruguai,7.807,20.021
Espumantes,2007,Não consta na tabela,-,-
Espumantes,2007,Não declarados,-,-
Espumantes,2007,Outros,7.338,42.896
Espumantes,2007,Total,3.245.012,18.323.408
Espumantes,2008,Africa do Sul,9.212,30.630
Espumantes,2008,Alemanha,1.959,12.516
Espumantes,2008,Argentina,1.015.357,3.094.003
Espumantes,2008,Austrália,495,3.343
Espumantes,2008,Áustria,756,6.680
Espumantes,2008,Bermudas,-,-
Espumantes,2008,Bahamas,-,-
Espumantes,2008,Bélgica,-,-
Espumantes,2008,Brasil,1.072,7.645
Espumantes,2008,Bulgária,-,-
Espumantes,2008,Canada,-,-
Espumantes,2008,Chile,84.673,234.038
Espumantes,2008,Croácia,-,-
Espumantes,2008,Cuba,-,-
Espumantes,2008,Emirados Árabes Unidos,-,-
Espumantes,2008,Eslovênia,-,-
Espumantes,2008,Espanha,266.955,1.179.471
Espumantes,2008,Estados Unidos,12.417,34.991
Espumantes,2008,França,991.608,10.773.247
Espumantes,2008,Geórgia,-,-
Espumantes,2008,Granada,-,-
Espumantes,2008,Grécia,-,-
Espumantes,2008,Hong Kong,-,-
Espumantes,2008,Hungria,-,-
Espumantes,2008,Indonésia,-,-
Espumantes,2008,Irlanda,-,-
Espumantes,2008,Israel,1.350,6.912
Espumantes,2008,Itália,1.051.675,4.474.690
Espumantes,2008,Japão,-,-
Espumantes,2008,Luxemburgo,-,-
Espumantes,2008,México,-,-
Espumantes,2008,Moldávia,-,-
Espumantes,2008,Nova Zelândia,315,3.921
Espumantes,2008,Países Baixos,-,-
Espumantes,2008,Panamá,-,-
Espumantes,2008,Peru,-,-
Espumantes,2008,Portugal,62.471,273.717
Espumantes,2008,Reino Unido,-,-
Espumantes,2008,Romênia,-,-
Espumantes,2008,Suíça,-,-
Espumantes,2008,Tunísia,-,-
Espumantes,2008,Ucrânia,-,-
Espumantes,2008,Uruguai,1.755,8.372
Espumantes,2008,Não consta na tabela,-,-
Espumantes,2008,Não declarados,-,-
Espumantes,2008,Outros,-,-
Espumantes,2008,Total,3.502.070,20.144.176
Espumantes,2009,Africa do Sul,10.381,42.463
Espumantes,2009,Alemanha,1.170,8.434
Espumantes,2009,Argentina,894.550,2.730.102
Espumantes,2009,Austrália,225,2.108
Espumantes,2009,Áustria,-,-
Espumantes,2009,Bermudas,-,-
Espumantes,2009,Bahamas,-,-
Espumantes,2009,Bélgica,-,-
Espumantes,2009,Brasil,-,-
Espumantes,2009,Bulgária,-,-
Espumantes,2009,Canada,-,-
Espumantes,2009,Chile,39.533,165.731
Espumantes,2009,Croácia,-,-
Espumantes,2009,Cuba,-,-
Espumantes,2009,Emirados Árabes Unidos,-,-
Espumantes,2009,Eslovênia,-,-
Espumantes,2009,Espanha,388.452,1.397.582
Espumantes,2009,Estados Unidos,7.119,25.952
Espumantes,2009,França,1.130.768,11.933.677
Espumantes,2009,Geórgia,-,-
Espumantes,2009,Granada,-,-
Espumantes,2009,Grécia,-,-
Espumantes,2009,Hong Kong,-,-
Espumantes,2009,Hungria,-,-
Espumantes,2009,Indonésia,-,-
Espumantes,2009,Irlanda,-,-
Espumantes,2009,Israel,-,-
Espumantes,2009,Itália,693.765,2.984.665
Espumantes,2009,Japão,-,-
Espumantes,2009,Luxemburgo,-,-
Espumantes,2009,México,-,-
Espumantes,2009,Moldávia,-,-
Espumantes,2009,Nova Zelândia,630,5.106
Espumantes,2009,Países Baixos,-,-
Espumantes,2009,Panamá,-,-
Espumantes,2009,Peru,-,-
Espumantes,2009,Portugal,31.170,164.404
Espumantes,2009,Reino Unido,-,-
Espumantes,2009,Romênia,-,-
Espumantes,2009,Suíça,-,-
Espumantes,2009,Tunísia,-,-
Espumantes,2009,Ucrânia,-,-
Espumantes,2009,Uruguai,900,10.200
Espumantes,2009,Não consta na tabela,-,-
Espumantes,2009,Não declarados,-,-
Espumantes,2009,Outros,972,2.665
Espumantes,2009,Total,3.199.635,19.473.089
Espumantes,2010,Africa do Sul,8.121,37.035
Espumantes,2010,Alemanha,1.116,5.753
Espumantes,2010,Argentina,1.086.901,3.583.463
Espumantes,2010,Austrália,-,-
Espumantes,2010,Áustria,-,-
Espumantes,2010,Bermudas,-,-
Espumantes,2010,Bahamas,-,-
Espumantes,2010,Bélgica,-,-
Espumantes,2010,Brasil,468,62.570
Espumantes,2010,Bulgária,-,-
Espumantes,2010,Canada,-,-
Espumantes,2010,Chile,68.562,243.004
Espumantes,2010,Croácia,-,-
Espumantes,2010,Cuba,-,-
Espumantes,2010,Emirados Árabes Unidos,-,-
Espumantes,2010,Eslovênia,-,-
Espumantes,2010,Espanha,512.539,1.904.476
